region,dataset,seed,model_name,profile,fp_cost,fn_cost,recommended_threshold,best_threshold,best_cost,recommended_cost,regret,fp_at_rec,fn_at_rec,fp_at_best,fn_at_best,predictions_csv_path
nola,nola_pooled_pairwise,46,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_46/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,46,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_46/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,46,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_46/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,46,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_46/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,47,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_47/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,47,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_47/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,47,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_47/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,47,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_47/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,48,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_48/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,48,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_48/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,48,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_48/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,48,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_48/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,49,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_49/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,49,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_49/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,49,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_49/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,49,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_49/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,50,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_50/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,50,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_50/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,50,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_50/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,50,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_50/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,41,extra_trees,balanced,1.0,1.0,0.6,0.65,19.0,20.0,1.0,6,14,3,16,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_41/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,41,extra_trees,fn_heavy,1.0,3.0,0.6,0.45,34.0,48.0,14.0,6,14,13,7,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_41/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,41,extra_trees,fn_very_heavy,1.0,5.0,0.6,0.35,46.0,76.0,30.0,6,14,21,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_41/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,41,extra_trees,fp_heavy,3.0,1.0,0.6,0.65,25.0,32.0,7.0,6,14,3,16,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_41/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,42,extra_trees,balanced,1.0,1.0,0.6,0.55,18.0,20.0,2.0,5,15,8,10,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_42/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,42,extra_trees,fn_heavy,1.0,3.0,0.6,0.35,34.0,50.0,16.0,5,15,19,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_42/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,42,extra_trees,fn_very_heavy,1.0,5.0,0.6,0.35,44.0,80.0,36.0,5,15,19,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_42/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,42,extra_trees,fp_heavy,3.0,1.0,0.6,0.7,28.0,30.0,2.0,5,15,2,22,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_42/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,43,extra_trees,balanced,1.0,1.0,0.7,0.6,18.0,23.0,5.0,2,21,6,12,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_43/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,43,extra_trees,fn_heavy,1.0,3.0,0.7,0.5,35.0,65.0,30.0,2,21,11,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_43/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,43,extra_trees,fn_very_heavy,1.0,5.0,0.7,0.4,47.0,107.0,60.0,2,21,17,6,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_43/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,43,extra_trees,fp_heavy,3.0,1.0,0.7,0.7,27.0,27.0,0.0,2,21,2,21,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_43/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,44,extra_trees,balanced,1.0,1.0,0.55,0.55,19.0,19.0,0.0,9,10,9,10,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_44/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,44,extra_trees,fn_heavy,1.0,3.0,0.55,0.35,33.0,39.0,6.0,9,10,18,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_44/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,44,extra_trees,fn_very_heavy,1.0,5.0,0.55,0.35,43.0,59.0,16.0,9,10,18,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_44/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,44,extra_trees,fp_heavy,3.0,1.0,0.55,0.7,26.0,37.0,11.0,9,10,2,20,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_44/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,45,extra_trees,balanced,1.0,1.0,0.6,0.5,19.0,20.0,1.0,6,14,11,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_45/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,45,extra_trees,fn_heavy,1.0,3.0,0.6,0.5,35.0,48.0,13.0,6,14,11,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_45/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,45,extra_trees,fn_very_heavy,1.0,5.0,0.6,0.35,45.0,76.0,31.0,6,14,20,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_45/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,45,extra_trees,fp_heavy,3.0,1.0,0.6,0.7,26.0,32.0,6.0,6,14,2,20,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_45/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,46,extra_trees,balanced,1.0,1.0,0.7,0.55,18.0,21.0,3.0,2,19,9,9,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_46/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,46,extra_trees,fn_heavy,1.0,3.0,0.7,0.45,34.0,59.0,25.0,2,19,13,7,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_46/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,46,extra_trees,fn_very_heavy,1.0,5.0,0.7,0.4,47.0,97.0,50.0,2,19,17,6,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_46/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,46,extra_trees,fp_heavy,3.0,1.0,0.7,0.7,25.0,25.0,0.0,2,19,2,19,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_46/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,47,extra_trees,balanced,1.0,1.0,0.6,0.6,19.0,19.0,0.0,7,12,7,12,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_47/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,47,extra_trees,fn_heavy,1.0,3.0,0.6,0.35,35.0,43.0,8.0,7,12,20,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_47/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,47,extra_trees,fn_very_heavy,1.0,5.0,0.6,0.35,45.0,67.0,22.0,7,12,20,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_47/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,47,extra_trees,fp_heavy,3.0,1.0,0.6,0.7,27.0,33.0,6.0,7,12,2,21,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_47/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,48,extra_trees,balanced,1.0,1.0,0.55,0.55,17.0,17.0,0.0,7,10,7,10,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_48/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,48,extra_trees,fn_heavy,1.0,3.0,0.55,0.5,35.0,37.0,2.0,7,10,11,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_48/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,48,extra_trees,fn_very_heavy,1.0,5.0,0.55,0.35,45.0,57.0,12.0,7,10,20,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_48/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,48,extra_trees,fp_heavy,3.0,1.0,0.55,0.9,28.0,31.0,3.0,7,10,0,28,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_48/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,49,extra_trees,balanced,1.0,1.0,0.6,0.55,17.0,22.0,5.0,6,16,9,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_49/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,49,extra_trees,fn_heavy,1.0,3.0,0.6,0.55,33.0,54.0,21.0,6,16,9,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_49/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,49,extra_trees,fn_very_heavy,1.0,5.0,0.6,0.35,46.0,86.0,40.0,6,16,21,5,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_49/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,49,extra_trees,fp_heavy,3.0,1.0,0.6,0.7,25.0,34.0,9.0,6,16,2,19,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_49/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,50,extra_trees,balanced,1.0,1.0,0.55,0.55,18.0,18.0,0.0,8,10,8,10,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_50/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,50,extra_trees,fn_heavy,1.0,3.0,0.55,0.5,35.0,38.0,3.0,8,10,11,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_50/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,50,extra_trees,fn_very_heavy,1.0,5.0,0.55,0.4,47.0,58.0,11.0,8,10,17,6,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_50/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
seattle,seattle_pooled_pairwise,50,extra_trees,fp_heavy,3.0,1.0,0.55,0.65,25.0,34.0,9.0,8,10,2,19,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/seattle/seed_50/seattle_pooled_pairwise_tabular_all_models_test_predictions.csv
